type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
0,0.1613747626543045,-0.6865697503089905,0.42005038261413574,-0.0988009050488472,0.3397512137889862,-0.7065337300300598,0.01409545261412859,0.15885762870311737,-0.06710602343082428,-0.05791217088699341,-0.057663120329380035,-0.06340853869915009,-0.1610720008611679,0.012689584866166115,0.36546099185943604,0.3180416524410248,0.19798551499843597,0.014937377534806728,0.669181764125824,-0.14360341429710388,-0.3306603729724884,0.2294573038816452,0.12718676030635834,-0.11802008002996445,-0.3385758101940155,0.11677280813455582,0.306371808052063,0.26697051525115967,0.5770652890205383,0.35110822319984436,0.2783624231815338,0.6716808676719666
1,0.4168342649936676,-0.5139519572257996,0.1393175572156906,-0.7268436551094055,0.49890774488449097,-0.2977800965309143,0.311703622341156,-0.02246197871863842,-0.16415256261825562,0.3940674662590027,-0.39395275712013245,-0.1901923269033432,-0.053724657744169235,-0.19563569128513336,0.6853424906730652,0.3325003385543823,0.01030234806239605,-0.07030908018350601,0.4304385185241699,0.06166861578822136,-0.31291621923446655,0.23388248682022095,0.19797679781913757,-0.6294040083885193,-0.06957022100687027,-0.05419624224305153,0.11431164294481277,0.037641741335392,0.49745193123817444,0.3829471170902252,0.22746542096138,0.3237922787666321
2,0.4439379870891571,-0.48656636476516724,0.18927842378616333,-0.6910055875778198,0.508533775806427,-0.3605642318725586,0.25418367981910706,-0.06274080276489258,-0.12215398252010345,0.39462530612945557,-0.4624690115451813,-0.1724020093679428,-0.10533713549375534,-0.15470930933952332,0.7055479288101196,0.38029593229293823,-0.008157096803188324,-0.03802872821688652,0.45459356904029846,0.03240789845585823,-0.36444729566574097,0.2292005568742752,0.2084348499774933,-0.6468564867973328,-0.05223219841718674,-0.03563562408089638,0.1480715125799179,0.05960232764482498,0.5179688334465027,0.3693465292453766,0.18836432695388794,0.3479878902435303
3,0.1503654569387436,-0.6785424947738647,0.4663145840167999,-0.09148727357387543,0.3401282727718353,-0.7628746628761292,0.011385107412934303,0.16422522068023682,-0.027901997789740562,-0.09686668962240219,-0.07894439995288849,-0.07177828997373581,-0.1311425268650055,0.011535092256963253,0.43499666452407837,0.37233269214630127,0.2263323813676834,-0.017691267654299736,0.6888705492019653,-0.14087967574596405,-0.35962820053100586,0.21369309723377228,0.0932735949754715,-0.08914754539728165,-0.4247419536113739,0.1675022691488266,0.3482263684272766,0.3056773841381073,0.6382812857627869,0.32178258895874023,0.30966877937316895,0.712019681930542
4,0.16260460019111633,-0.7128324508666992,0.44738635420799255,-0.05570780485868454,0.35568153858184814,-0.7057588696479797,-0.014391042292118073,0.19195149838924408,-0.04283444210886955,-0.05975919961929321,-0.10336557030677795,-0.09549091011285782,-0.1747521013021469,0.015098730102181435,0.4344910681247711,0.31589922308921814,0.21182052791118622,0.014137838035821915,0.6859140396118164,-0.0917273610830307,-0.36050689220428467,0.23357704281806946,0.10896707326173782,-0.136238232254982,-0.36067137122154236,0.15072233974933624,0.3310568332672119,0.3510293662548065,0.5953236222267151,0.3164668679237366,0.24083711206912994,0.6809296607971191
5,0.1742187887430191,-0.7201254367828369,0.43969643115997314,-0.10871846228837967,0.33777329325675964,-0.7433476448059082,-0.009412875398993492,0.17445430159568787,-0.04400622844696045,-0.0785171166062355,-0.06860864162445068,-0.05303608998656273,-0.15758013725280762,0.04978812113404274,0.3948565423488617,0.35873278975486755,0.20068113505840302,-0.01650894805788994,0.7384769320487976,-0.15555180609226227,-0.36329060792922974,0.23792147636413574,0.11802767962217331,-0.11557648330926895,-0.4121003746986389,0.13767459988594055,0.3720100522041321,0.2795232832431793,0.6308457851409912,0.3356989920139313,0.3387112021446228,0.7068979144096375
6,-0.8122308850288391,-1.089460015296936,-0.4223678410053253,-0.7866382002830505,0.39145293831825256,-0.5650039911270142,-0.1508895605802536,0.1433171182870865,-0.5530967116355896,0.4143826365470886,0.03501804172992706,0.4257027804851532,-0.3190668523311615,-0.05486631393432617,1.0761699676513672,0.20493300259113312,0.7366700768470764,-0.1296565681695938,0.19123224914073944,-0.2572297155857086,-0.10419441759586334,0.5543007254600525,-0.5902734398841858,0.006973539013415575,-0.2109256237745285,0.3424903154373169,0.899470329284668,0.26398026943206787,0.9694302082061768,-0.02139899879693985,0.6220832467079163,0.34127214550971985
7,-0.6001402139663696,-1.3564512729644775,-0.0019876803271472454,-0.5632917284965515,0.21828247606754303,-0.892466127872467,-0.2363177239894867,0.1999100148677826,-0.3591775894165039,0.30716708302497864,0.0878232941031456,0.1979411095380783,-0.2336670309305191,-0.07376059889793396,1.0931520462036133,0.2685270607471466,0.8194050788879395,0.031814105808734894,0.6147478222846985,-0.11047790199518204,-0.3791463077068329,0.37107786536216736,-0.2707878649234772,0.2130826860666275,-0.42324814200401306,0.378140926361084,1.060211420059204,0.46917030215263367,1.1851695775985718,0.16995756328105927,0.6717391610145569,0.6440836191177368
8,0.16834142804145813,-0.7502442002296448,0.6927733421325684,0.40061309933662415,0.5903788805007935,-1.6459311246871948,1.0126534700393677,0.2770121991634369,0.6981978416442871,-0.2224923074245453,-0.7112173438072205,-0.15982988476753235,-1.3529099225997925,0.277018278837204,0.6255101561546326,-0.02328951470553875,1.0751526355743408,-0.32762548327445984,0.32039618492126465,0.11072062700986862,-0.22299642860889435,1.456493854522705,-0.2907649278640747,0.005105620250105858,-0.6001383066177368,0.7477085590362549,1.5645701885223389,0.12453712522983551,0.7776371836662292,1.115398645401001,1.4302334785461426,0.5304450392723083
9,-1.671649694442749,-1.5519733428955078,-0.027326561510562897,-0.28255999088287354,1.1757302284240723,-0.41572263836860657,0.15506882965564728,0.9616056084632874,-1.0512011051177979,0.25825434923171997,-0.9049158096313477,0.45328518748283386,-1.7439115047454834,-0.2703971266746521,-0.1372222751379013,-1.1179250478744507,0.1716168075799942,0.34880587458610535,1.0370240211486816,-1.4472414255142212,-0.9043182730674744,2.3597559928894043,-1.0392684936523438,-0.7676952481269836,0.778914749622345,0.18201348185539246,1.4277504682540894,-0.41655439138412476,-0.5911750197410583,-0.24710161983966827,-0.5216349363327026,1.2485947608947754
10,-1.655034065246582,-1.50527822971344,0.052551575005054474,-0.3194504380226135,1.149568796157837,-0.45651257038116455,0.13190287351608276,0.9517977833747864,-0.9414721727371216,0.3309677839279175,-1.0476218461990356,0.49035173654556274,-1.8118932247161865,-0.28833532333374023,-0.047717344015836716,-1.130415678024292,0.13994622230529785,0.37132173776626587,1.0647701025009155,-1.5856751203536987,-0.9362055063247681,2.428402900695801,-1.0205928087234497,-0.803847074508667,0.6905418634414673,0.0778936818242073,1.3392621278762817,-0.3573371469974518,-0.6687911152839661,-0.27288618683815,-0.5601872205734253,1.278540015220642
