type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
10,0.8879873752593994,-0.17434298992156982,-0.04871809482574463,-0.05736302211880684,-1.0924863815307617,0.5518904328346252,0.216570183634758,0.1828615814447403,-0.08093272894620895,0.39799952507019043,-0.2771527171134949,-0.4320404529571533,-0.06210019811987877,-0.31613415479660034,0.5274620056152344,-1.4554322957992554,-1.2787063121795654,-0.06261907517910004,0.20669202506542206,0.06073774769902229,0.10404279828071594,0.5882648825645447,0.17033152282238007,-0.87510085105896,0.7007784247398376,-0.3193555474281311,-0.4908086061477661,-0.7226208448410034,-0.06446095556020737,-0.4310419261455536,-0.3323344886302948,1.4104927778244019,-0.6661571860313416,1.4859358072280884,-1.4293079376220703,0.2977825105190277,-0.35897138714790344,-0.5735840797424316,0.39432379603385925,1.1829899549484253,0.22107639908790588,1.0136798620224,-0.07778403162956238,0.5774806141853333,1.260958194732666,0.8351478576660156,0.803932249546051,0.604861855506897,0.17220230400562286,0.22285258769989014,0.851956307888031,-0.18587586283683777,0.07347888499498367,-0.4986935257911682,1.12355637550354,-0.6578605771064758,1.0834484100341797,0.5548425316810608,0.29173943400382996,0.801181435585022,-0.04003041982650757,1.007536768913269,-0.371386855840683,-0.1345890462398529
11,1.1744037866592407,0.2391057163476944,0.5449697971343994,0.13267795741558075,-0.7372077703475952,1.233157992362976,0.09121224284172058,0.5591108798980713,0.4896804988384247,-0.01749512366950512,-0.17493294179439545,-0.2550160586833954,-0.146193265914917,0.5855888724327087,0.8339192867279053,-1.1839948892593384,-1.0920991897583008,0.4374254047870636,0.29040467739105225,-0.8410132527351379,0.4128037691116333,0.3263765275478363,-0.6099801063537598,-0.257000207901001,0.6155083179473877,-0.08692746609449387,0.5127632021903992,-0.8418175578117371,-0.4523797929286957,-0.9521695375442505,-0.013236870989203453,0.9655848145484924,-0.22629640996456146,0.6251885294914246,-1.2517614364624023,0.5985793471336365,-0.1561277061700821,-0.2628922760486603,0.4274953603744507,1.2627187967300415,-0.580668568611145,0.7484289407730103,-0.42340198159217834,0.06617081165313721,0.9425090551376343,0.3582965135574341,0.8782060146331787,0.5425650477409363,0.316026896238327,0.2767751216888428,1.2470502853393555,-0.048847746104002,-0.3403560221195221,-0.16108712553977966,1.7280381917953491,-0.9654451012611389,0.2667422592639923,0.10056286305189133,0.6412005424499512,-0.021423105150461197,0.31648606061935425,1.2367722988128662,-0.8129521012306213,-0.1495358645915985
12,1.2525485754013062,0.44083401560783386,0.5932688117027283,0.26670193672180176,-1.0403835773468018,1.0781880617141724,-0.08423858880996704,0.7736995816230774,0.855280876159668,-0.29583805799484253,-0.13631317019462585,0.030451232567429543,-0.45259425044059753,0.617343008518219,0.7786799073219299,-0.8994773626327515,-0.6027892827987671,0.4304901361465454,0.22263897955417633,-1.0185415744781494,0.40557563304901123,0.2336292713880539,-0.8292728066444397,0.1260315179824829,0.5347971320152283,-0.1923241913318634,1.0110909938812256,-0.661643385887146,-0.8291483521461487,-0.861673891544342,0.24255125224590302,1.0428009033203125,0.01685265079140663,0.26500222086906433,-0.9496622681617737,0.5085035562515259,0.24807776510715485,0.006383660715073347,0.2591968774795532,0.9302436709403992,-0.7580739855766296,0.7959016561508179,-0.546396017074585,-0.06504058837890625,0.6641619801521301,-0.06981983035802841,1.1298167705535889,0.3403359651565552,0.30402135848999023,0.36565712094306946,1.0366761684417725,-0.0633048266172409,-0.7456933856010437,-0.22241702675819397,1.6386600732803345,-0.8515803217887878,-0.5188508629798889,-0.15668176114559174,0.5740972757339478,-0.3667859733104706,0.5457173585891724,1.2189123630523682,-0.3641657829284668,0.2987878620624542
13,1.2382831573486328,0.428416907787323,0.6876097321510315,0.213105708360672,-1.0447760820388794,1.0786925554275513,-0.10278070718050003,0.7828498482704163,0.8621076941490173,-0.33923032879829407,-0.14062397181987762,0.09685755521059036,-0.4344586133956909,0.6483511924743652,0.7814525365829468,-0.8258342146873474,-0.5938184857368469,0.42879924178123474,0.25486135482788086,-0.996801495552063,0.46150490641593933,0.24713194370269775,-0.8278963565826416,0.1029834896326065,0.5470284819602966,-0.2027491331100464,0.9905075430870056,-0.6959680914878845,-0.8390185832977295,-0.8586035966873169,0.2472178041934967,1.063058614730835,0.06375492364168167,0.28133028745651245,-0.9563521146774292,0.47440993785858154,0.23647958040237427,-0.013287755660712719,0.2856694161891937,0.8595964312553406,-0.7800930142402649,0.7742646336555481,-0.5515176653862,-0.05306626856327057,0.6984466910362244,-0.0716136023402214,1.1274785995483398,0.29898908734321594,0.24984967708587646,0.3291959762573242,1.0100210905075073,-0.010147398337721825,-0.7669756412506104,-0.19238263368606567,1.650651216506958,-0.8454939723014832,-0.5947916507720947,-0.21114453673362732,0.6054986119270325,-0.4021168351173401,0.5364013314247131,1.2222230434417725,-0.35169100761413574,0.2632550597190857
14,1.2695610523223877,0.4475715458393097,0.6218715906143188,0.28276526927948,-1.0429699420928955,1.070097804069519,-0.11219228059053421,0.7986026406288147,0.8471534252166748,-0.3414694368839264,-0.1322869509458542,0.048064518719911575,-0.4438389241695404,0.5995372533798218,0.7997323870658875,-0.8373245596885681,-0.6251552700996399,0.40130317211151123,0.21994265913963318,-0.9768227934837341,0.4210253655910492,0.1792459934949875,-0.825487494468689,0.12083552032709122,0.5428320169448853,-0.22249804437160492,1.0024785995483398,-0.7083038687705994,-0.8442596793174744,-0.8916323781013489,0.28540974855422974,1.02222740650177,0.006966648157685995,0.3100184500217438,-0.9650609493255615,0.4977874457836151,0.27193892002105713,0.002308407798409462,0.2777634263038635,0.851560652256012,-0.7844140529632568,0.7967456579208374,-0.5650482773780823,-0.07035033404827118,0.646836519241333,-0.07068508863449097,1.159735918045044,0.3024458587169647,0.2659333646297455,0.36108076572418213,1.0006271600723267,-0.01641445979475975,-0.7272005081176758,-0.239622101187706,1.618443489074707,-0.8475987315177917,-0.5592178106307983,-0.17869503796100616,0.5775541663169861,-0.4100666344165802,0.558348536491394,1.205849289894104,-0.3437262773513794,0.31877240538597107
15,0.9702281951904297,0.30750754475593567,0.3684161603450775,0.29696914553642273,-1.4624980688095093,0.3205036520957947,-0.35663506388664246,0.3536106050014496,0.944936990737915,0.06179457902908325,-0.5494205951690674,-0.042838484048843384,-0.44066858291625977,0.0011788359843194485,0.5244387984275818,-1.096484661102295,-0.13259460031986237,-0.13216139376163483,0.16336356103420258,-0.9174137115478516,0.42641571164131165,-0.10110195726156235,-0.5609796643257141,-0.49680235981941223,0.8082701563835144,0.07303144782781601,1.0649869441986084,-0.4888515770435333,-0.4891390800476074,-0.9088719487190247,0.7119745016098022,1.771728277206421,0.35424619913101196,0.17045238614082336,-0.5959107279777527,0.21924366056919098,0.5403863787651062,0.48604342341423035,-0.0927078127861023,0.5809784531593323,-0.7922914624214172,0.8635164499282837,-0.5653367638587952,-0.3710545003414154,0.7093858122825623,-0.4052201211452484,0.7028731107711792,-0.4854627251625061,0.38978469371795654,0.7086885571479797,0.2572854459285736,0.3776596784591675,-0.4231371581554413,-0.5212628245353699,0.5935777425765991,-0.48464950919151306,-0.8502973914146423,-0.6393003463745117,0.5282464623451233,-0.2379942089319229,0.25958511233329773,1.276835322380066,0.5694776773452759,0.9493022561073303
16,0.6655795574188232,0.353733628988266,-0.03291376680135727,0.48673897981643677,-1.5140306949615479,-0.2174297273159027,-0.45898979902267456,0.072349913418293,0.8677345514297485,0.16386277973651886,-0.5926390886306763,-0.36383575201034546,-0.22959193587303162,-0.7464860677719116,0.45810532569885254,-1.0856361389160156,0.1413353532552719,-0.5391395688056946,0.3502422869205475,-0.5652398467063904,0.36797985434532166,-0.14786078035831451,-0.1747892051935196,-0.9077763557434082,0.8319941163063049,0.20144909620285034,0.8015162348747253,-0.23098339140415192,-0.5914203524589539,-0.9539872407913208,1.0405898094177246,2.0729551315307617,0.37372124195098877,0.22871312499046326,-0.5397456288337708,-0.15271832048892975,0.5815101861953735,0.7205328345298767,-0.5916268825531006,0.492726594209671,-0.460601270198822,0.8645002841949463,-0.26417192816734314,-0.37838736176490784,0.654636800289154,-0.22763592004776,0.5119912624359131,-0.42950472235679626,0.1627364456653595,0.7363937497138977,-0.0785566046833992,0.48675012588500977,-0.2771930396556854,-0.5896732211112976,-0.026497898623347282,-0.29888322949409485,-0.5282224416732788,-0.3542894124984741,-0.04228762164711952,0.07198202610015869,0.19889014959335327,1.4678187370300293,1.0608649253845215,1.3410364389419556
17,0.673037588596344,0.4136793911457062,0.033085890114307404,0.4347703158855438,-1.513126254081726,-0.27810972929000854,-0.4333885908126831,0.12736913561820984,0.8769994974136353,0.19194132089614868,-0.553327739238739,-0.37334275245666504,-0.25885772705078125,-0.722335696220398,0.5788218379020691,-1.0338191986083984,0.17312821745872498,-0.472839891910553,0.37344858050346375,-0.5454320311546326,0.4394940733909607,-0.08608249574899673,-0.21110963821411133,-0.8691685199737549,0.9334471225738525,0.18484146893024445,0.7711851596832275,-0.20596325397491455,-0.5931703448295593,-0.960334300994873,1.0460952520370483,2.0838329792022705,0.3715828061103821,0.25352171063423157,-0.5565330982208252,-0.15522445738315582,0.5428341627120972,0.6936406493186951,-0.5556442737579346,0.456102579832077,-0.4412738084793091,0.8891242146492004,-0.2746448516845703,-0.3198910355567932,0.6754449605941772,-0.15516307950019836,0.4991719722747803,-0.43468335270881653,0.13348866999149323,0.7497345805168152,-0.09147348999977112,0.5182749032974243,-0.24564817547798157,-0.5686394572257996,0.012012132443487644,-0.3182828426361084,-0.5631107687950134,-0.339004248380661,0.029882995411753654,0.13535571098327637,0.10486230254173279,1.4869343042373657,1.0388380289077759,1.3501203060150146
18,0.6603706479072571,0.37786152958869934,0.021712686866521835,0.4982403814792633,-1.5003182888031006,-0.2776266634464264,-0.45806562900543213,0.09658033400774002,0.906569242477417,0.19209818542003632,-0.5217252969741821,-0.3927401602268219,-0.2767382562160492,-0.7592579126358032,0.4843806028366089,-1.11722731590271,0.18586651980876923,-0.4763050973415375,0.35916540026664734,-0.5680487155914307,0.39672932028770447,-0.07171705365180969,-0.21915100514888763,-0.922564685344696,0.9313521981239319,0.2038773000240326,0.7935928702354431,-0.201071634888649,-0.5678420662879944,-0.9245439171791077,1.0745158195495605,2.1463887691497803,0.38453349471092224,0.239891916513443,-0.4748072624206543,-0.14288568496704102,0.5505113005638123,0.765979528427124,-0.5293378233909607,0.510478138923645,-0.39612290263175964,0.8944237232208252,-0.2523110508918762,-0.2604754865169525,0.6581730842590332,-0.20017379522323608,0.5296461582183838,-0.4639575779438019,0.1650027334690094,0.7275256514549255,-0.07408995181322098,0.4852728843688965,-0.23966704308986664,-0.6777420043945312,0.03872361779212952,-0.27039042115211487,-0.5475601553916931,-0.35692813992500305,0.00554706109687686,0.10285264253616333,0.13709108531475067,1.5098164081573486,0.9797444939613342,1.4029932022094727
19,0.5180765390396118,0.37205490469932556,-0.02449049986898899,0.48256587982177734,-1.112323522567749,-0.18369236588478088,-0.3419918119907379,0.06734617799520493,0.7243869304656982,0.2619057297706604,-0.42227283120155334,-0.4487617015838623,-0.1751890331506729,-0.8023525476455688,0.5441053509712219,-0.9256879687309265,0.2356235384941101,-0.41738420724868774,0.28352952003479004,-0.44838201999664307,0.2458961457014084,0.013141321018338203,-0.13723298907279968,-0.6747153401374817,0.8301328420639038,0.19267608225345612,0.5889206528663635,-0.21323947608470917,-0.5519213080406189,-0.764992892742157,0.844202995300293,1.7070425748825073,0.29422909021377563,0.2383454591035843,-0.39489850401878357,-0.07428242266178131,0.3283204436302185,0.7188335657119751,-0.49833494424819946,0.4069307744503021,-0.21276842057704926,0.7206950783729553,-0.10332179814577103,-0.3249305784702301,0.48628172278404236,-0.016898903995752335,0.3577953279018402,-0.1722574383020401,0.06592617928981781,0.5017701983451843,-0.06485162675380707,0.3494763970375061,-0.07148519903421402,-0.43313345313072205,0.05409396067261696,-0.14409546554088593,-0.47379645705223083,-0.1877703070640564,-0.17024381458759308,0.1706484705209732,0.14839386940002441,1.0488994121551514,0.8390010595321655,1.1956586837768555
