type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
0,-0.5491533875465393,0.4934575855731964,0.1726287454366684,0.38736534118652344,-0.22373586893081665,0.15117159485816956,-0.7066318988800049,0.05597949028015137,0.6677674651145935,-0.0898115336894989,0.17994607985019684,-0.16209882497787476,-0.18467171490192413,1.2331135272979736,0.39434540271759033,0.1280963122844696
1,-0.29658064246177673,1.3473169803619385,-0.2780407667160034,0.17935356497764587,-0.5018839836120605,0.3223377764225006,-0.4276723563671112,0.17852048575878143,0.21511127054691315,-0.052067749202251434,-0.026616094633936882,0.2237183004617691,-0.47089526057243347,0.8862152695655823,0.23139964044094086,0.36100709438323975
2,-0.2998252213001251,1.4280935525894165,-0.327406108379364,0.1775539219379425,-0.4325246512889862,0.33615291118621826,-0.4746256172657013,0.0848349779844284,0.15745633840560913,-0.02779744751751423,0.08242083340883255,0.24511300027370453,-0.48529160022735596,0.896930992603302,0.26584145426750183,0.2809799313545227
3,-0.25335875153541565,1.3847070932388306,-0.29457253217697144,0.15815016627311707,-0.4200841188430786,0.33849820494651794,-0.4658794105052948,0.14197126030921936,0.11123669147491455,-0.04810386523604393,0.05645458400249481,0.251925528049469,-0.5066075325012207,0.8749509453773499,0.2666514813899994,0.26682978868484497
4,-0.2967604696750641,1.4434823989868164,-0.2736617624759674,0.20193064212799072,-0.46729007363319397,0.33667534589767456,-0.41826170682907104,0.13069112598896027,0.1515270471572876,-0.020222652703523636,0.005985049996525049,0.25611400604248047,-0.526802659034729,0.9167786240577698,0.27773404121398926,0.22899694740772247
5,-0.23712104558944702,1.4718616008758545,-0.2816181182861328,0.13196131587028503,-0.4748058319091797,0.34384337067604065,-0.4243590235710144,0.1349364072084427,0.11858484894037247,-0.09921600669622421,0.003385022282600403,0.2812952995300293,-0.5262131690979004,0.9026328921318054,0.30319544672966003,0.2879994213581085
6,0.44797229766845703,1.342038869857788,-0.5127375721931458,0.5289034843444824,0.49259278178215027,-0.4803021550178528,0.07895009964704514,1.1443341970443726,-0.5041587948799133,-0.5103654861450195,0.3359207212924957,0.02206692472100258,-0.874252438545227,1.2625664472579956,0.7626004219055176,-0.2543240785598755
7,0.2488289326429367,1.161064624786377,-0.021615242585539818,0.647850513458252,-0.8131950497627258,0.02652823179960251,-0.9113638401031494,0.016183510422706604,-0.4059649407863617,0.19455188512802124,0.3603580594062805,1.2601261138916016,-0.5409530997276306,0.24818164110183716,0.9097294807434082,1.0497679710388184
8,0.5255177021026611,3.190422773361206,-0.4381859004497528,1.1817175149917603,0.567440390586853,-0.6778374314308167,-1.6106102466583252,-0.8766617774963379,-1.749801516532898,-1.8105072975158691,0.527439534664154,-1.7641735076904297,-1.4138680696487427,2.4408555030822754,0.3797602951526642,1.6804072856903076
9,-0.6403336524963379,1.650681972503662,-0.7477975487709045,0.5516592860221863,-0.3549859821796417,0.31690922379493713,-2.7689223289489746,-0.7778539657592773,-1.469721794128418,0.5229587554931641,0.6742542386054993,-0.8690196871757507,-0.07552184909582138,2.2037763595581055,3.996124029159546,-1.2394496202468872
