type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,0.0012128493981435895,-0.0007514221942983568,0.0009741596295498312,-0.002547761658206582,-0.00038853727164678276,-0.0030150925740599632,0.0025317317340523005,-0.0020761340856552124,-0.0038305188063532114,0.0019870863761752844,0.0028811830561608076,0.0015095779672265053,0.0005525959422811866,0.0030193959828466177,0.003609152976423502,-0.00040733558125793934,0.001460848841816187,-0.0029426219407469034,-0.0034418776631355286,0.000722010969184339,-0.0038914985489100218,-0.0015673920279368758,0.0024401338305324316,0.0038160935509949923,-0.0033582213800400496,0.003082263981923461,0.001490201917476952,0.003702087327837944,-0.0019365167245268822,0.0007295631221495569,0.0021116225980222225,0.0036244995426386595,-0.0010929616400972009,-0.0015263485256582499,-0.002581970766186714,0.0030819957610219717,0.0016255354275926948,0.003018307965248823,-0.002175003057345748,0.0038407298270612955,0.0006767165032215416,0.00045799545478075743,-0.00015428534243255854,0.00046874227700755,0.0002617978898342699,-0.0006393732619471848,0.0018410246120765805,0.0035461396910250187,0.0021528746001422405,-0.0032857670448720455,0.0036470263730734587,-0.0019724140875041485,-0.000248388183536008,-0.0026091933250427246,-0.002175480592995882,-0.0035343847703188658,-0.002523275790736079,-0.00037755456287413836,-0.002877773717045784,-0.0028061179909855127,-0.00031250109896063805,-0.003481973661109805,0.0021775776986032724,0.0009138680179603398,-0.00280206766910851,-0.00027633272111415863,-0.0003630652790889144,-0.0014618438435718417,0.0031803599558770657,0.002127137966454029,0.0036281973589211702,0.001374414307065308,0.0027354394551366568,0.0021725960541516542,-0.002259652828797698,-0.0029925089329481125,0.0015239331405609846,0.0006386211607605219,-0.0006835118983872235,0.0013461807975545526,0.0003389404737390578,0.002248315140604973,-0.001749807852320373,-0.001963586313650012,0.002423896687105298,1.9214023268432356e-05,-0.0029444864485412836,0.0021139641758054495,-0.003088481957092881,0.003549800720065832,-0.0005363526870496571,0.0015499251894652843,0.0033170185051858425,-0.0001395706640323624,0.0025750885251909494,0.002838659333065152,-0.003303210949525237,-0.00011129971244372427,-0.0032085259445011616,-0.002607312286272645,0.0013035712763667107,-0.0003233125898987055,-0.002568598370999098,-0.003583038691431284,0.0038669949863106012,-0.0006850505014881492,0.0011013029143214226,0.00016687557217665017,0.0003985450020991266,0.001302156364545226,0.003779083490371704,-0.00013669714098796248,0.0028856012504547834,-0.0024526703637093306,-0.0006422522710636258,0.0027127002831548452,0.0018494493560865521,0.0021168719977140427,-0.0002037139202002436,-0.0010415235301479697,-0.003158901585265994,-0.00035094236955046654,9.820958075579256e-05,0.0001182852647616528,-0.0010490880813449621,6.398616096703336e-05,-0.0037482180632650852,0.0012993478449061513
1,-0.0032868890557438135,-0.0009944058256223798,-0.0011273580603301525,0.001746971276588738,0.00199524057097733,0.000845204689539969,-0.0021042856387794018,-0.003268657950684428,-0.0015208530239760876,0.00030741572845727205,-0.0017716842703521252,-0.0016966441180557013,-0.0005898167146369815,0.0022193279583007097,-0.0015822203131392598,0.0018561289180070162,0.0016807897482067347,0.0012824502773582935,-0.0004861725901719183,0.0037680803798139095,0.0033868758473545313,-0.002381329657509923,-0.0027534584514796734,-0.003143124980852008,-0.0029584818985313177,-0.0027515373658388853,-0.0023178551346063614,-0.0006874133250676095,0.0012114184210076928,-0.0015646639512851834,-0.003853860078379512,0.0018645767122507095,0.0036106882616877556,0.0028804366011172533,0.0017277483129873872,0.0032288047950714827,-0.003457066835835576,-0.0012341742403805256,0.00018443827866576612,-0.003456411650404334,-0.0031656890641897917,-0.001003301702439785,0.003299955278635025,0.0009934093104675412,-0.001589183579199016,0.002139138989150524,-0.003364710370078683,-0.00250400067307055,-0.0024566659703850746,-0.0006755820941179991,-0.0023416487965732813,0.0014867536956444383,0.0009490677039138973,-0.003503391519188881,-0.0008928572642616928,0.0014404718531295657,0.0030281858053058386,-0.00014982992433942854,0.0009389088954776525,0.0011896116193383932,-0.0004904017550870776,-0.00040350109338760376,0.0021720307413488626,0.001773299416527152,-0.0011309323599562049,-0.0023258260916918516,-0.003148187417536974,0.0006698879296891391,-0.0004433288413565606,-0.00085292081348598,-0.0018919286085292697,-0.0006901582819409668,0.001480582752265036,0.003726746654137969,0.002928435103967786,-0.0008738406468182802,0.0020664643961936235,-0.00023016803606878966,-0.001684676855802536,-0.0006784535362385213,0.0015212584985420108,0.002548342337831855,0.0009656115435063839,-0.00044134914060123265,-0.0017272710101678967,0.0021192324347794056,-0.002181090647354722,-0.002854385180398822,0.003268785774707794,-0.003249428002163768,-0.0029667941853404045,-0.002702554687857628,0.0007823384366929531,0.0022070056293159723,-0.0008404187392443419,0.0037360985297709703,0.00055479328148067,-1.0082510925712995e-05,-0.003391891485080123,0.0026479982770979404,0.0013365932973101735,0.0007913264562375844,-0.0029744005296379328,0.0015168002573773265,0.00044615441584028304,-0.0010134708136320114,0.0008897693478502333,-0.0023206560872495174,-0.003880981123074889,-0.003736324841156602,0.003359722439199686,-0.001241882797330618,0.0036026560701429844,0.001651611179113388,0.0015963830519467592,0.0007243719883263111,0.0006024905014783144,0.0020665936172008514,0.0036918576806783676,0.0010414363350719213,0.0017403734382241964,0.003672883613035083,0.001600552350282669,0.003134127240628004,-0.0027546107303351164,0.0035317481961101294,0.001553758280351758,-0.00218172837048769
2,-0.0013172479812055826,-0.002959412056952715,0.002258965279906988,-0.00039326687692664564,0.0008301420020870864,-0.0008907168521545827,0.0003344407887198031,0.0033826737198978662,0.002935134805738926,7.42007932785782e-06,0.0035739121958613396,-0.0005413852632045746,0.0014906188007444143,0.0001048351259669289,3.8549042074009776e-05,-0.0015764047857373953,0.0030526206828653812,-0.0005709576071240008,0.003460836363956332,-0.0007879136246629059,-0.0026564665604382753,0.003471149830147624,-0.0001254757953574881,0.0013599550584331155,-0.0011382310185581446,0.0022171325981616974,-0.0018988217925652862,0.0019612847827374935,-0.0027220488991588354,-0.0002257545420434326,-0.001019239192828536,-0.00011627849016804248,0.0024025628808885813,-0.001577266724780202,0.0001713095116429031,-0.0009719255613163114,0.0024283062666654587,0.00183261523488909,0.0009794655488803983,0.0004245916788931936,0.0021118398290127516,-0.001697990228421986,-0.0013229583855718374,0.0032764996867626905,-0.0015234487364068627,-0.003381059505045414,0.0013996493071317673,0.001434611389413476,-0.00022747836192138493,-0.002722887322306633,0.002900431165471673,0.0034122434444725513,-0.0014334256993606687,0.003047160105779767,0.000616569712292403,0.0011521951528266072,0.002231447957456112,0.0013917284086346626,-0.0013341339072212577,0.0016914150910452008,0.0003714699705597013,-0.0029214739333838224,-0.0014644521288573742,0.003282999387010932,0.00011173182429047301,-0.0020688888616859913,-0.0009350034524686635,-0.0023892000317573547,0.0006382091669365764,-0.002690026070922613,0.0007240824634209275,-0.0037741579581052065,-0.0021964614279568195,0.002231616759672761,0.002779133850708604,-0.0033588584046810865,0.002614144701510668,-0.0011482732370495796,0.0004278482811059803,-0.0038659851998090744,0.00025606947019696236,-0.002496507717296481,-0.0033191184047609568,-0.0008128822082653642,0.00309880287386477,-0.0022436364088207483,0.00257412763312459,-0.0037787817418575287,0.0028226340655237436,-0.0001566609862493351,0.0026133954524993896,-0.0017501912079751492,-0.0002807447162922472,-0.0031230291351675987,0.0029817521572113037,0.0030192972626537085,-0.0023369586560875177,-0.002448079641908407,-0.003737216116860509,-0.0006263749091885984,0.0009204148082062602,-0.002781816991046071,-0.0011566048488020897,0.0029476957861334085,0.0024436437524855137,0.0007493176381103694,-0.0008092140778899193,-0.0008292689453810453,0.0006432065856643021,0.0032141825649887323,0.0013366976054385304,-0.002068393398076296,-0.0009030388901010156,0.002864543814212084,0.0019044565269723535,0.0017001188825815916,-0.0017422070959582925,0.0008538308902643621,-0.0020156532991677523,0.0005946176825091243,0.002962723607197404,-0.0007062471704557538,-0.002637929515913129,-0.0010575552005320787,-0.0014273066772148013,-0.0012069472577422857,-0.0007245162851177156,-0.0006228045094758272
3,0.0018932706443592906,-0.0025293848011642694,-0.0016981805674731731,0.0014080093242228031,-0.002204886404797435,-0.0018513558898121119,-0.0010785567574203014,-0.0008954753866419196,0.0014557155082002282,-0.0009151959675364196,0.000584599154535681,-0.0020023745018988848,-0.002796656684949994,-0.0013054137816652656,-0.002958959434181452,-0.001844589482061565,-0.0033939280547201633,-0.0007352516404353082,0.0020247697830200195,-0.0026172050274908543,0.0006306463619694114,0.0012230533175170422,0.0031889884267002344,-0.0025663634296506643,-0.002880958141759038,-0.00343079911544919,-0.0034314768854528666,0.002769122365862131,-6.936081626918167e-05,-0.0004486017569433898,-0.0006565741496160626,-0.002625636989250779,-0.0003234620380681008,0.0011178306303918362,-0.0022377034183591604,-0.00013905666128266603,0.0019334630342200398,0.0038085056003183126,-0.001713401172310114,0.0033314055763185024,0.001401892164722085,-0.0002631489478517324,0.00044091022573411465,-0.00021206968813203275,0.0014653567923232913,-0.0012918388238176703,-0.0006931228563189507,-0.002718695206567645,-0.0015253013698384166,0.0015787462471053004,-0.0017968278843909502,-0.0012389308540150523,-0.0015050445217639208,0.003472250187769532,0.0029968784656375647,0.0019818691071122885,-0.0011095231166109443,-0.0027880242560058832,0.002921182895079255,-0.0036110396031290293,0.000262610730715096,-0.0019384128972887993,0.0007587019354104996,-0.002645631320774555,-0.00236594513989985,0.001812115078791976,-0.0016080548521131277,0.0004382320330478251,-0.002217280911281705,0.00028627165011130273,-0.0037018191069364548,-0.0031090211123228073,-0.002423310186713934,0.0020262817852199078,0.002506304532289505,-0.0008704779902473092,0.0019253185018897057,-0.0017529006581753492,-0.00046842850861139596,-0.001881933305412531,0.000786581018473953,-0.00282665784470737,0.0037346407771110535,-0.00016914877051021904,0.0021421213168650866,0.0010587810538709164,-0.0003515818389132619,-0.0028564983513206244,-0.0006285854033194482,0.0009965845383703709,-0.002362009836360812,0.001360562746413052,0.0005062759737484157,0.001965381670743227,0.0008415424381382763,0.002266294788569212,-0.0038762500043958426,-0.002759559080004692,-0.0010594427585601807,0.0021321545355021954,-0.0029045729897916317,0.0008772542933002114,-0.0006800196133553982,0.0015258798375725746,0.0006111073307693005,-0.0038012503646314144,0.0015441355062648654,-0.0016285264864563942,-0.002853396348655224,-0.0004812369297724217,0.0011996972607448697,0.00035769620444625616,-0.002649390371516347,0.000495538639370352,-0.001000602263957262,-0.003341484349220991,1.5039036952657625e-05,-0.003150860546156764,0.003760951803997159,-0.001939736190252006,0.0008579253335483372,-0.001081226160749793,0.0015751172322779894,-0.0036312160082161427,0.0017979037947952747,-5.383349707699381e-05,0.0017237457213923335,0.00035520936944521964
4,0.0024397613015025854,0.0010530342115089297,0.0033712536096572876,0.003507611807435751,0.003183206310495734,0.0007146382704377174,0.0007872042478993535,0.00042732091969810426,0.0008184831240214407,-0.0016897579189389944,0.0007679889677092433,0.00013433746062219143,-0.0005999544518999755,-0.0036050358321517706,0.0012269048020243645,-0.0037287650629878044,-0.0010535932378843427,-0.0019121788209304214,-0.00033742745290510356,-0.0022961366921663284,-0.0016174541087821126,-0.0015200667548924685,0.003248719498515129,0.0031483916100114584,-0.00017617986304685473,-0.001889089122414589,-0.0009703111718408763,-0.0004186149453744292,0.0015494712861254811,0.0006802265415899456,0.0018114777049049735,0.0022116939071565866,0.00011038811499020085,0.0037742622662335634,0.0007276328396983445,0.0017175410175696015,0.003284296952188015,-0.003400004468858242,0.0008215549751184881,-0.0032462701201438904,-0.003436686936765909,0.0004858916508965194,-0.000883356318809092,-0.001913498854264617,-0.003351228078827262,-0.0025159576907753944,-0.0007740511791780591,0.002390226349234581,0.003083443036302924,0.0017092583002522588,-0.001059910748153925,0.0017948730383068323,0.0022586598061025143,-0.00247336202301085,-0.0036958346609026194,0.00042931860662065446,-0.003875325433909893,0.002806171076372266,0.0008031517500057817,0.002004084875807166,-0.002883569337427616,-0.002173436339944601,-0.0032151145860552788,0.003268655389547348,-0.0012318937806412578,0.0037684852723032236,-0.0027511261869221926,-0.00385193875990808,-0.003715295810252428,0.0009167332318611443,0.0015206271782517433,-0.0034512768033891916,0.0019022708293050528,0.002714855130761862,-0.0015550170792266726,-0.0007752744131721556,-0.0003869546635542065,-0.0031253905035555363,0.0034701277036219835,0.0008617295534349978,0.0019898011814802885,-0.0014738044701516628,-0.000384348415536806,-0.002828106749802828,-0.0015749656595289707,-0.0028865847270935774,0.003486674977466464,0.0001027472026180476,0.00109195860568434,-0.00018764613196253777,-0.0021115094423294067,0.002430514432489872,0.0020174006931483746,0.0017792645376175642,-0.0020244386978447437,0.0014565548626706004,-0.0028734493535012007,0.0021174184512346983,0.0021825721487402916,-0.0011146252509206533,-0.003174811601638794,0.001174513716250658,-0.0008058909443207085,0.0014721477637067437,0.00014207023195922375,0.0007101193186827004,-0.002654599491506815,-0.0016193772898986936,-0.0028732172213494778,-0.003402323229238391,-0.001585250603966415,0.0019862959161400795,-0.001309998449869454,-0.0029952875338494778,0.0009942461038008332,-0.002589313080534339,-0.0008786508697085083,0.0010919745545834303,0.0018049763748422265,0.0002621091844048351,-4.020395135739818e-05,-0.0007660091505385935,-0.002094811061397195,-0.000793308368884027,-0.0017473358893767,0.000864484638441354,-0.0023600177373737097,0.0007387926452793181
5,0.0006754677160643041,-0.002541615627706051,-0.0007590507157146931,-0.0029859275091439486,0.0016438461607322097,-0.0022349280770868063,-0.002135875402018428,-0.0017869204748421907,-0.0026592076756060123,0.001439431682229042,-0.0035098991356790066,-0.0013340985169634223,0.003316870192065835,-0.0006823586882092059,0.000704948150087148,0.0037760937120765448,-0.003039351897314191,0.0023657637648284435,0.002303210087120533,-0.001199114485643804,-0.0010165376588702202,0.0007899258052930236,-0.00010410198592580855,0.0018096421845257282,0.0006754699861630797,0.002169796032831073,-0.0017266790382564068,0.0006212682346813381,-0.0012890113284811378,-0.0008756763418205082,0.0038527532014995813,0.0007188887102529407,0.0018860796699300408,0.0027088639326393604,0.003679008921608329,0.0025267607998102903,0.0006641556392423809,-0.0034569287672638893,0.0030446010641753674,6.870846846140921e-05,0.000528524280525744,0.0007319332216866314,0.0035339391324669123,0.0035728791262954473,-0.0018364833667874336,0.00034834648249670863,0.001355367130599916,-0.001368354307487607,0.0011716664303094149,-0.0031627702992409468,0.0004346995265223086,-0.0008826650446280837,-0.0013678375398740172,0.002759980969130993,-0.0031128444243222475,0.0009091763640753925,0.002334200544282794,-0.0010881619527935982,-0.00046287899021990597,-0.00014971624477766454,-0.0032553658820688725,-0.0033692489378154278,-0.0015360914403572679,0.002106579253450036,0.0025183665566146374,-0.0026276602875441313,-0.0010389195522293448,-0.0003062058531213552,-0.0037908637896180153,-0.003601109841838479,0.00275893765501678,-0.0027678662445396185,0.0013764661271125078,-0.0036149751394987106,-0.0037136669270694256,-0.0012746247230097651,0.0021045636385679245,0.0011387210106477141,0.0035441103391349316,0.000698384887073189,-0.0005272868438623846,0.0004084364336449653,0.0004954097676090896,-0.0031829129438847303,-0.0031197641510516405,-0.0036292560398578644,-0.0030674843583256006,0.0003061481402255595,0.001788727124221623,-0.0003543835773598403,-0.0027442113496363163,-0.0020060555543750525,0.0012117279693484306,0.0015332511393353343,0.0024851576890796423,0.0025101429782807827,0.0017727394588291645,0.0023219294380396605,0.0030656615272164345,-0.0038325292989611626,-0.003345321398228407,0.001976070227101445,-0.0018437143880873919,8.287640230264515e-05,0.0016893827123567462,0.0007419637986458838,-0.0023340010084211826,0.00379700749181211,-0.0035284908954054117,-0.0025589577853679657,-0.0023575942032039165,0.0023938524536788464,8.171489025698975e-05,0.0005130770150572062,9.052216046256945e-05,0.0006662600208073854,-0.0018843249417841434,0.0019851592369377613,6.284891424002126e-05,0.0028811597730964422,-0.003766090841963887,-0.0030593029223382473,-0.001272131223231554,-0.0020831881556659937,-0.0015495963161811233,0.0002660132304299623,0.0003250647569075227,-0.0008178016287274659
6,-0.01995871588587761,0.0016747555928304791,-0.013701705262064934,-0.05824492871761322,-0.036830805242061615,0.06288053095340729,-0.022823017090559006,0.05594923347234726,0.06484062224626541,0.020778821781277657,-0.04819781333208084,-0.03920475393533707,0.006504480727016926,0.041027333587408066,0.02932322397828102,0.031793009489774704,0.019634557887911797,-0.037575963884592056,-0.02185731753706932,0.02201470173895359,0.022085506469011307,-0.0009801697451621294,-0.028027832508087158,-0.005452869459986687,-0.0029331312980502844,-0.03429779037833214,0.05450945347547531,0.04810057580471039,-0.030871421098709106,0.027922745794057846,-0.020081287249922752,0.0035418157931417227,-0.05707225948572159,-0.0673513263463974,0.04212342947721481,-0.03167957067489624,-0.050529152154922485,-0.006414064206182957,-0.05735856294631958,-0.07145930826663971,-0.007819479331374168,-0.05155779421329498,0.035802729427814484,-0.007004754617810249,0.04919400438666344,0.0350433848798275,-0.04402691125869751,0.025683671236038208,0.008248239755630493,0.03812354430556297,0.008086254820227623,-0.00952084269374609,0.02781776525080204,0.016461439430713654,-0.0035067852586507797,-0.04569951817393303,-0.013949593529105186,0.026262763887643814,-0.03177560120820999,0.021037880331277847,-0.020242173224687576,0.056232087314128876,-0.03693387284874916,0.06642470508813858,-0.05712111294269562,-0.0049428450874984264,0.010329480282962322,0.020402351394295692,0.024779923260211945,0.013722977600991726,-0.034459568560123444,-0.0018555490532889962,-0.01024946290999651,0.01835782639682293,-0.017950447276234627,0.032264769077301025,-0.04509086161851883,-0.028521552681922913,-0.06423146277666092,0.0046979570761322975,-0.04706895723938942,-0.000506957876496017,-0.013587667606770992,-0.01815207302570343,0.025475023314356804,0.007879792712628841,0.001955151790753007,-0.006820446811616421,0.016267454251646996,-0.036193568259477615,-0.007046723272651434,-0.029382938519120216,-0.003766442649066448,0.008809872902929783,-0.08264187723398209,-0.03862158954143524,0.039476316422224045,0.001185499015264213,-0.06640039384365082,-0.10500029474496841,0.0023569627664983273,0.011769146658480167,0.05128879100084305,0.00866718776524067,0.04051761329174042,0.011046919040381908,-0.009992280043661594,0.0032259696163237095,0.007970900274813175,0.06280738115310669,0.07164150476455688,-0.0669008120894432,0.003605200909078121,-0.011834588833153248,0.04503835365176201,-0.0010802955366671085,-0.0003107809170614928,0.015748366713523865,0.022697128355503082,0.08282845467329025,-0.011289374902844429,-0.039222706109285355,0.007781915366649628,0.043314509093761444,0.05274675786495209,-0.040237922221422195,0.03814804553985596,0.07883632928133011
7,0.0027929916977882385,-0.003170337760820985,-0.0006984774372540414,-0.0010379946324974298,0.000207869554287754,0.0013548219576478004,-0.002712129382416606,0.00121142971329391,0.0016410788521170616,0.0034583203960210085,-0.00308429216966033,-0.002154076239094138,0.0027007826138287783,-0.0035191108472645283,-3.602178185246885e-05,-0.002869728719815612,-0.003603670047596097,0.0004907065886072814,0.002376321703195572,0.0034237734507769346,-0.003692556405439973,0.0034153976012021303,0.001994532532989979,-0.0005370528670027852,-0.001336714019998908,-0.002137555042281747,-0.003231613663956523,0.001139798085205257,-0.00047354234266094863,0.0005358238122425973,-0.0011433633044362068,0.0015014137607067823,0.0023938785307109356,-0.002796545159071684,0.001956526655703783,-0.0011022959370166063,-0.0014049906749278307,0.0018111480167135596,0.003715303260833025,0.002553367055952549,-0.0020728937815874815,0.0027188758831471205,-0.0008370362920686603,0.0013473947765305638,-0.002505687065422535,-0.00023063570552039891,-0.0016705667367205024,-0.002513598185032606,0.0028994493186473846,-0.0012865107273682952,0.0029263433534651995,-0.0009242701344192028,0.002425472717732191,0.00199698144569993,0.0016816096613183618,-0.001427439390681684,-0.003184189321473241,0.003775970311835408,0.0038034708704799414,-0.0013040333287790418,0.0029200082644820213,0.0021411480847746134,-0.0038040021900087595,-0.002026584465056658,0.000986339757218957,0.0024505590554326773,0.002877793973311782,-0.002053511794656515,-0.002541920403018594,0.0033011389896273613,-0.003441254375502467,-0.0002665686479303986,0.00197317311540246,0.00286441994830966,0.0036937727127224207,0.003330390667542815,-0.002444667974486947,0.0006595539744012058,0.0015489066718146205,-0.00302602699957788,0.002745475620031357,-0.0021470969077199697,-0.0033471272327005863,0.0007881482015363872,-0.0006687627173960209,0.0029705839697271585,-0.0030521100852638483,-0.003715779632329941,-0.0031003893818706274,0.0038970515597611666,-0.003637650515884161,0.002194186206907034,-0.0034648007713258266,0.0009355907677672803,-0.0015431714709848166,0.0011013479670509696,-0.0036730680149048567,-0.001959283836185932,-0.0012215368915349245,-0.00045805753325112164,-0.0025152983143925667,0.002360646380111575,0.0006570866098627448,-0.0016076794127002358,0.003326183883473277,-0.002108623506501317,0.001276772702112794,0.0005744437221437693,-0.0009705345146358013,0.0035866640973836184,-0.0013775033876299858,-0.003452480537816882,0.001004597870633006,-0.0034889739472419024,-0.0025816336274147034,-0.0021443860605359077,0.0011360348435118794,-0.000396212562918663,0.0016522775404155254,0.00356844044290483,0.0028901000041514635,0.0021421373821794987,0.0014076854567974806,0.00039707834366708994,0.0009344688151031733,0.002303477143868804,-0.0015654657036066055,0.0018777769291773438
8,0.003223339794203639,0.0010745171457529068,0.0029789351392537355,-0.0037251648027449846,0.001318002468906343,0.002027367241680622,-0.001293048495426774,0.0037190946750342846,-0.002098405035212636,-0.0010402528569102287,-0.0017821325454860926,0.000741229800041765,0.0001721459993859753,0.00013684002624358982,-0.0020364481024444103,0.001774147734977305,-0.001064841984771192,-0.0019495260203257203,-0.0037410894874483347,-0.0029403825756162405,0.003760982071980834,-0.003430756041780114,0.0010773810790851712,0.00301011698320508,0.0035051843151450157,0.0026717418804764748,-0.0008749430417083204,-0.0003640362701844424,-0.0003484853368718177,-0.002693017479032278,0.0002515185624361038,-0.0025204455014318228,-0.0024254603777080774,0.002731387037783861,-0.002669312758371234,-0.002629132941365242,0.0027433058712631464,0.002631327835842967,0.0008205767953768373,-0.0006312213372439146,-0.0006619176710955799,0.003301645629107952,-0.0011794720776379108,0.0006830917554907501,-0.0007437453605234623,0.0035745881032198668,-0.002674709539860487,0.0019977285992354155,0.0016717241378501058,0.003883601864799857,-0.0027207103557884693,0.00045166737982071936,1.4237016330298502e-05,-0.0014341712230816483,-0.003621351905167103,0.0020158239640295506,-0.0026607599575072527,-0.002291765995323658,0.0005161091103218496,-0.0018958707805722952,0.0035886552650481462,-0.0021786631550639868,-0.0037739332765340805,-0.00047510513104498386,0.0019402269972488284,0.003806711407378316,-0.0011571291834115982,0.0006980578182265162,-0.0001328463840764016,-0.0006713331094942987,0.0015316512435674667,0.0010233642533421516,0.0016061962815001607,0.003433078760281205,-0.0015108315274119377,0.001243838225491345,-0.001452515833079815,-0.0015153056010603905,0.001094543724320829,0.002786792814731598,0.003710967255756259,-0.003823251696303487,0.00024147788644768298,-0.0006130662513896823,-0.002508044010028243,-0.0011247186921536922,0.0002942925493698567,-0.000946788233704865,0.0031001740135252476,-0.0035872827284038067,0.001157417194917798,-0.00265113590285182,-0.0013029490364715457,-0.0035454323515295982,-0.0017850277945399284,0.0025813316460698843,0.001799501129426062,0.0004816575674340129,-0.00025709642795845866,0.001656420761719346,-0.002970821922644973,-0.0013386945938691497,0.0005339522031135857,0.003454234916716814,0.0036870604380965233,-1.9982506273663603e-05,0.0030386541038751602,-0.003455093130469322,-0.0004571493191178888,-0.0022666349541395903,-0.00010530801955610514,0.001884883618913591,0.0023897532373666763,0.0038276256527751684,0.002229684730991721,-0.001546621322631836,-0.0016303036827594042,-0.0014180280268192291,-0.0007490654243156314,9.603671787772328e-05,0.002705150982365012,0.0006717588403262198,0.002005531918257475,0.0014813742600381374,-0.0025541463401168585,0.0002501698618289083,0.0038969654124230146,-0.002881665714085102
9,-0.07927899807691574,0.08011811226606369,-0.05489011108875275,-0.22915589809417725,-0.23420608043670654,0.2459949105978012,-0.034413836896419525,0.19196799397468567,0.27828866243362427,0.13558737933635712,-0.11241541802883148,-0.07307568192481995,0.09354778379201889,0.11258290708065033,0.0965418890118599,0.1644371598958969,0.09924054145812988,-0.1991559863090515,-0.09831088781356812,0.07003103941679001,-0.0008280585170723498,0.05918358638882637,-0.19025714695453644,0.03020470403134823,-0.09740810096263885,-0.14541850984096527,0.2730921804904938,0.13143594563007355,-0.050905000418424606,0.14768007397651672,-0.05054010450839996,-0.008334080688655376,-0.25721582770347595,-0.20946109294891357,0.15023377537727356,-0.11512711644172668,-0.26681965589523315,-0.014514081180095673,-0.29443132877349854,-0.35995903611183167,-0.025748325511813164,-0.18374870717525482,0.19848689436912537,-0.05574691295623779,0.21408216655254364,0.17822225391864777,-0.13890808820724487,0.06468290835618973,0.07950369268655777,0.23352020978927612,0.08253508806228638,0.008397955447435379,0.07851758599281311,0.13217784464359283,0.0387863852083683,-0.18523980677127838,0.005558592267334461,0.11150962859392166,-0.10747357457876205,0.07455131411552429,-0.1649310439825058,0.16656078398227692,-0.10151217132806778,0.19281236827373505,-0.17559389770030975,0.013786286115646362,0.0959448292851448,0.04238138347864151,0.05801911652088165,0.054061342030763626,-0.17172646522521973,0.012156057171523571,-0.12650351226329803,0.0920017883181572,-0.041058070957660675,0.152043879032135,-0.28236493468284607,-0.1008228212594986,-0.29388144612312317,0.010503601282835007,-0.2997894287109375,-0.08265916258096695,-0.04377002269029617,-0.1405906230211258,0.13136279582977295,-0.0442308746278286,0.016243185847997665,-0.020276518538594246,0.035932961851358414,-0.12425827980041504,0.023479508236050606,-0.12449853122234344,-0.0508979894220829,0.031560298055410385,-0.3608821630477905,-0.17756830155849457,0.19085606932640076,-0.02869466133415699,-0.3264752924442291,-0.4613144099712372,0.07854796200990677,-0.05008696764707565,0.2677874267101288,0.020968353375792503,0.24283090233802795,-0.009211800992488861,-0.08117645233869553,0.045876964926719666,-0.015260621905326843,0.19248360395431519,0.3418511152267456,-0.3589895963668823,0.08714178949594498,-0.08510224521160126,0.2580903470516205,0.05280204862356186,-0.020665159448981285,-0.03586747124791145,0.18179012835025787,0.4452495574951172,-0.08880079537630081,-0.16956304013729095,0.009742721915245056,0.09495045244693756,0.2347961813211441,-0.25253725051879883,0.0827714204788208,0.33978429436683655
