"sparse weighted graph embedding,"
177,-3.2989705,-0.8232257
178,-3.3004694,-0.8192597
179,-3.3154218,-0.82278687
180,-3.3600209,-0.8356114
181,-3.3685305,-0.83402485
182,-3.3749883,-0.8313396
183,-3.3748834,-0.8407331
184,-3.387652,-0.8455912
185,-3.272746,-0.81547534
186,-3.2788723,-0.81946325
187,-3.3007007,-0.83015335
188,-3.3101351,-0.8132813
189,-3.230572,-0.803332
190,-3.2948732,-0.81657165
191,-3.2741601,-0.8086027
192,-3.2839696,-0.81448114
193,-3.175348,-0.78809524
194,-3.1838727,-0.80230784
195,-3.1255534,-0.7844684
196,-3.1327605,-0.7961351
197,-3.1693969,-0.7743423
198,-3.2636034,-0.8246262
199,-3.287992,-0.8049952
200,-3.1398668,-0.7868047
201,-3.1380408,-0.7852382
202,-3.1006484,-0.7791207
203,-3.1393092,-0.78354275
204,-3.1451263,-0.7740949
205,-3.1098564,-0.78293395
206,-3.1273954,-0.77077323
207,-3.1233916,-0.78431475
208,-3.1194205,-0.7899578
209,-3.0281692,-0.774024
210,-3.1546457,-0.7949264
211,-3.3646195,-0.8295626
212,-3.2374356,-0.80297863
213,-3.2563407,-0.7974022
214,-3.4426575,-0.8396436
215,-3.5263186,-0.87255305
216,-3.5260189,-0.86689425
217,-3.4132524,-0.8375726
218,-3.552217,-0.8718375
219,-3.5003357,-0.8399185
220,-3.4860697,-0.86303777
221,-3.4843042,-0.8550763
222,-3.5118499,-0.86393434
223,-3.4809144,-0.83567965
224,-3.506685,-0.8641341
225,-3.4526567,-0.85385126
226,-3.5570338,-0.88150483
227,-3.545394,-0.86395097
228,-3.453324,-0.85650027
229,-3.4746776,-0.85365546
230,-3.4599137,-0.854682
231,-3.4078667,-0.8258061
232,-3.4158874,-0.8577589
233,-3.3266282,-0.82321215
234,-3.2706501,-0.7913551
235,-3.2633317,-0.80078614
236,-3.3071437,-0.8108917
237,-3.2582076,-0.803338
238,-3.1896276,-0.79547054
239,-3.195195,-0.7977114
240,-2.976949,-0.7468502
241,-2.9350019,-0.7351568
242,-2.949226,-0.73352003
243,-2.9217327,-0.7273741
244,-2.8587728,-0.7184394
245,-2.8497298,-0.7241272
246,-2.8973877,-0.7384471
247,-2.8297274,-0.7064806
248,-2.8639295,-0.70936483
249,-2.8530242,-0.7352872
250,-2.7824204,-0.71895283
251,-2.7851098,-0.709315
252,-2.7685199,-0.71147937
253,-2.7280016,-0.7016999
254,-2.6052585,-0.6872049
255,-2.6031194,-0.6755673
256,-2.6234682,-0.6788705
257,-2.6444786,-0.6925792
258,-2.665206,-0.6882659
259,-2.7139328,-0.68942964
260,-2.7050886,-0.69810355
261,-2.7342715,-0.6987375
262,-2.7300797,-0.7008826
263,-2.7698493,-0.7199265
264,-2.717157,-0.6992069
265,-2.733815,-0.69312435
266,-2.7267435,-0.70453626
267,-2.6968822,-0.70229715
268,-2.7045784,-0.6941366
269,-2.7112384,-0.70090103
270,-2.7295318,-0.71458393
271,-2.7005312,-0.702633
272,-2.738015,-0.7038503
273,-2.7458308,-0.7119961
274,-2.7747142,-0.70516557
275,-2.7501423,-0.70689386
276,-2.7567205,-0.7135261
277,-2.8979108,-0.7358117
278,-2.9027576,-0.75313807
279,-2.9021168,-0.7394494
280,-2.9554565,-0.76976293
281,-3.03097,-0.76632434
282,-3.0341961,-0.7776358
283,-3.0045786,-0.7666467
284,-3.1040382,-0.77407396
285,-3.1149483,-0.7752827
286,-3.1865487,-0.79147017
287,-3.2476687,-0.8115147
288,-3.0544565,-0.7741556
289,-3.1551569,-0.8095733
290,-3.2597783,-0.81093204
291,-3.3208501,-0.81176925
292,-3.4673417,-0.8580052
293,-3.3320925,-0.8218667
294,-3.326246,-0.8255461
