"sparse weighted graph embedding,"	,"
2225,-1.9209015,-0.53078014	,-1.6268301,-0.20822756
2226,-1.935975,-0.5519996	,-1.6291056,-0.16450992
2227,-2.0092547,-0.56108093	,-1.7330234,-0.25715783
2228,-2.0083172,-0.5575744	,-1.7670014,-0.23979211
2229,-2.031104,-0.55166245	,-1.8294065,-0.28434682
2230,-2.0506692,-0.5498372	,-1.7539507,-0.24856044
2231,-2.069661,-0.5708623	,-1.7819483,-0.22856049
2232,-2.1851716,-0.60357875	,-1.9057965,-0.2666457
2233,-2.2199996,-0.6129592	,-1.9387634,-0.29571187
2234,-2.2407057,-0.616743	,-1.9258319,-0.29060426
2235,-2.220597,-0.61314	,-1.911186,-0.27726826
2236,-2.202344,-0.5975176	,-1.9034393,-0.29260093
2237,-2.1746209,-0.5957795	,-1.9349712,-0.30815187
2238,-2.1882143,-0.59068036	,-1.9602282,-0.31614947
2239,-2.2129867,-0.5982571	,-1.9896095,-0.3497314
2240,-2.158023,-0.5968979	,-2.0112362,-0.3228208
2241,-2.1883597,-0.6006631	,-1.9832304,-0.35882625
2242,-2.189202,-0.59127724	,-1.9490907,-0.33913663
2243,-2.1685061,-0.58959043	,-1.9832987,-0.3415431
2244,-2.2039213,-0.60913503	,-1.986119,-0.3343174
2245,-2.1863658,-0.6152165	,-1.944359,-0.33028767
2246,-2.1664696,-0.593778	,-1.8581738,-0.28268754
2247,-2.238853,-0.6052536	,-1.958877,-0.34464905
2248,-2.1852112,-0.5944669	,-1.9997765,-0.33999434
2249,-2.1322095,-0.595052	,-1.9168553,-0.29924887
2250,-2.11086,-0.59108603	,-1.8664318,-0.31467828
2251,-2.0782664,-0.57122815	,-1.85434,-0.27987188
2252,-2.1147554,-0.58407474	,-1.8736784,-0.32928932
2253,-2.0967195,-0.57000786	,-1.8444883,-0.2994287
2254,-2.1161525,-0.5836211	,-1.8543564,-0.30855018
2255,-2.1512175,-0.5924714	,-1.8770859,-0.30709597
2256,-2.1844842,-0.6054949	,-1.9322627,-0.3369623
2257,-2.1903021,-0.6079581	,-1.9323016,-0.35652006
2258,-2.1942348,-0.58792806	,-1.9703047,-0.35878175
2259,-2.2157054,-0.5989556	,-1.9603372,-0.36048102
2260,-2.2716513,-0.6096454	,-1.9618384,-0.35000238
2261,-2.2612875,-0.6231221	,-1.9892023,-0.36476272
2262,-2.283887,-0.59803224	,-1.9843047,-0.35869727
2263,-2.2819173,-0.61847436	,-1.9717438,-0.347362
2264,-2.2723794,-0.62222505	,-1.9610333,-0.34270313
2265,-2.1806948,-0.60749424	,-1.8463291,-0.2937291
2266,-2.1536496,-0.6095636	,-1.8440613,-0.299497
2267,-2.1585803,-0.6172976	,-1.8551743,-0.3063853
2268,-2.1729999,-0.59785056	,-1.9408588,-0.33191586
2269,-2.2588668,-0.6054561	,-1.9376965,-0.3658953
2270,-2.2083986,-0.6099805	,-1.9553522,-0.3621629
2271,-2.201097,-0.59852475	,-1.9706353,-0.3778466
2272,-2.2351985,-0.5952113	,-1.9386019,-0.3791519
2273,-2.3303938,-0.6097254	,-2.051072,-0.38086644
2274,-2.430447,-0.61753374	,-2.0882876,-0.4042469
2275,-2.4455802,-0.6197855	,-2.0973861,-0.43121502
2276,-2.3930926,-0.60773844	,-2.081027,-0.41106164
2277,-2.3775024,-0.62110496	,-2.046319,-0.36937645
2278,-2.415381,-0.61319053	,-2.0641904,-0.3756028
2279,-2.420585,-0.6277441	,-2.0337696,-0.3753589
2280,-2.3227587,-0.6250883	,-2.0622184,-0.36127928
2281,-2.2593908,-0.60585946	,-1.995455,-0.33896786
2282,-2.203432,-0.5949886	,-1.9362859,-0.32782188
2283,-2.2130818,-0.5980964	,-1.9395213,-0.3374715
2284,-2.1970956,-0.5848154	,-1.9092163,-0.31782457
2285,-2.2320588,-0.5906439	,-1.9400403,-0.34318638
2286,-2.2425027,-0.5860408	,-1.9964283,-0.32343465
2287,-2.190046,-0.59567964	,-1.9609927,-0.35880515
2288,-2.1588266,-0.57230604	,-1.9101974,-0.33548838
2289,-2.1678836,-0.5891346	,-1.9055581,-0.32904404
2290,-2.1693542,-0.5756906	,-1.8486115,-0.31819794
2291,-2.141807,-0.57055086	,-1.8322059,-0.30830768
2292,-2.1011631,-0.5787951	,-1.7969108,-0.3118957
2293,-2.113599,-0.5906322	,-1.8007424,-0.31975916
2294,-2.0874145,-0.5745007	,-1.7996372,-0.29300407
2295,-2.104841,-0.58087516	,-1.8220075,-0.3095182
2296,-2.1218498,-0.59066665	,-1.7969334,-0.29788452
2297,-2.0917518,-0.5835051	,-1.7697092,-0.28948376
2298,-2.0926938,-0.57611555	,-1.8023497,-0.30744773
2299,-2.0789015,-0.59619015	,-1.7742144,-0.2928424
2300,-2.060248,-0.5803733	,-1.7758075,-0.2803256
2301,-2.0553467,-0.5820855	,-1.7885911,-0.28689522
2302,-2.0844827,-0.57445294	,-1.7873477,-0.32217818
2303,-2.0881977,-0.58202964	,-1.8148224,-0.31602263
2304,-2.092448,-0.592827	,-1.8185681,-0.32515326
2305,-2.12431,-0.6012238	,-1.8094604,-0.34101108
2306,-2.0900328,-0.59665823	,-1.8102286,-0.3235979
2307,-2.1316514,-0.5923288	,-1.889001,-0.33137125
2308,-2.1958373,-0.6202267	,-1.902572,-0.33086252
2309,-2.1844373,-0.6068569	,-1.9009056,-0.34936783
2310,-2.1976779,-0.5873336	,-1.8545011,-0.3256318
2311,-2.1248345,-0.6031744	,-1.8162392,-0.31563443
2312,-2.0783324,-0.5998676	,-1.8500237,-0.3343927
2313,-2.0899549,-0.5900893	,-1.8211296,-0.30962235
2314,-2.1224182,-0.5919341	,-1.8652369,-0.3088368
2315,-2.165222,-0.61357296	,-1.8880229,-0.31592748
2316,-2.1736283,-0.60078746	,-1.8984157,-0.34112597
2317,-2.1670465,-0.5896496	,-1.9074581,-0.35670066
2318,-2.308142,-0.6266889	,-2.0749426,-0.38348252
2319,-2.3943899,-0.65021837	,-2.132889,-0.41677287
2320,-2.4838986,-0.66150165	,-2.197608,-0.41017258
2321,-2.5701866,-0.6526156	,-2.2561617,-0.45613134
2322,-2.5689795,-0.6692718	,-2.22879,-0.43997425
2323,-2.617723,-0.68579215	,-2.2390938,-0.41052136
2324,-2.690474,-0.67470527	,-2.338591,-0.4657051
2325,-2.712316,-0.6867197	,-2.397455,-0.4718423
2326,-2.7145166,-0.6722833	,-2.3709228,-0.4680625
2327,-2.6765072,-0.6837026	,-2.374049,-0.46710226
2328,-2.817374,-0.7143018	,-2.4894612,-0.48684746
2329,-2.9386966,-0.73368526	,-2.537709,-0.49816403
2330,-2.9475133,-0.72694427	,-2.5041409,-0.51359224
2331,-2.9926047,-0.7256875	,-2.540287,-0.50272
2332,-3.054128,-0.7519136	,-2.62282,-0.53704387
2333,-3.1601353,-0.77499664	,-2.5813215,-0.4809216
2334,-3.09942,-0.7550627	,-2.5659316,-0.4937095
2335,-3.117996,-0.7879132	,-2.6390917,-0.5175737
2336,-3.1403258,-0.7723421	,-2.6548517,-0.5369329
2337,-3.11334,-0.77694964	,-2.6569674,-0.51698405
2338,-3.1227496,-0.7731556	,-2.688439,-0.51629835
2339,-3.115647,-0.7874127	,-2.7000315,-0.51623195
2340,-3.228588,-0.77901286	,-2.6565306,-0.49783948
2341,-3.2382975,-0.79753006	,-2.7276,-0.505995
2342,-3.207957,-0.77998936	,-2.7335851,-0.52844834
2343,-3.293953,-0.8098263	,-2.736641,-0.5433676
2344,-3.3194447,-0.8033148	,-2.7431207,-0.5182353
2345,-3.26855,-0.7913801	,-2.7499173,-0.5493011
2346,-3.4066458,-0.8202885	,-2.830817,-0.56835544
2347,-3.4203315,-0.8281986	,-2.840676,-0.55630404
2348,-3.5476649,-0.8506691	,-2.9123807,-0.5389561
2349,-3.7793174,-0.91878957	,-3.0184653,-0.60704386
2350,-3.8082333,-0.92138934	,-3.0310705,-0.60905176
2351,-3.8037,-0.9327385	,-3.0473084,-0.6151101
2352,-3.8079536,-0.9247427	,-3.0218692,-0.6018184
2353,-3.8184514,-0.924293	,-3.1201785,-0.6295722
2354,-4.0106635,-0.9662941	,-3.1270812,-0.61708665
2355,-4.012955,-0.97902155	,-3.1254354,-0.6358022
2356,-4.037845,-0.97915626	,-3.1486535,-0.6195325
2357,-4.0333147,-0.9863871	,-3.1362023,-0.63117397
2358,-4.051435,-0.9784994	,-3.151556,-0.6440696
2359,-4.046466,-0.9763018	,-3.1488004,-0.6335264
2360,-4.0705037,-0.99857616	,-3.1465142,-0.6375413
2361,-4.068921,-0.98871946	,-3.1479945,-0.6257656
2362,-4.194552,-1.023903	,0.043305643,-0.113686435
2363,-4.1867023,-1.0184789	,0.021673942,0.23239717
2364,0.24242854,-0.20711093	,0.24242854,-0.20711093
2365,-0.112220734,0.105266586	,-0.112220734,0.105266586
2366,-0.04838946,0.056045454	,-0.04838946,0.056045454
2367,0.10426308,-0.07069963	,0.10426308,-0.07069963
2368,-4.1459856,-1.0017381	,-3.1617222,-0.63610697
2369,-4.1568465,-1.0189809	,-3.1629329,-0.6536414
2370,-4.179944,-1.0142455	,-3.1491137,-0.63384026
2371,-4.196117,-1.0228585	,-3.1759584,-0.66874367
2372,-4.2099123,-1.034687	,-3.174139,-0.6373896
2373,-4.2110133,-1.0236707	,-3.1854033,-0.66083163
2374,-4.2155433,-1.0334629	,-3.1743612,-0.6603142
2375,-4.0970545,-1.001993	,-3.2045686,-0.6779758
2376,-4.102528,-0.98685044	,-3.2026765,-0.69003224
2377,-4.1191254,-1.0113178	,-3.1966393,-0.66726977
2378,-3.9375775,-0.9754796	,-3.214185,-0.6912904
2379,-3.8037848,-0.9253103	,-3.0999067,-0.65045637
2380,-3.82047,-0.94104254	,-3.0880845,-0.6745247
2381,-3.8321173,-0.95473605	,-3.0883858,-0.651568
2382,-3.7563047,-0.9309711	,-3.0721653,-0.6207218
2383,-3.862157,-0.95068014	,-3.0885415,-0.634939
2384,-3.8734767,-0.94816226	,-3.261298,-0.68981075
2385,-3.8753626,-0.9572458	,-3.2613294,-0.6778495
2386,-3.883973,-0.94894063	,-3.2777615,-0.6761773
2387,-3.9010956,-0.96022385	,-3.2644923,-0.6774101
2388,-3.7077992,-0.92106754	,-3.28328,-0.7079183
2389,-3.7068536,-0.916114	,-3.2762198,-0.6851725
2390,-3.6585507,-0.91306156	,-3.2833333,-0.6797854
2391,-3.6730833,-0.897811	,-3.2659974,-0.69461447
2392,-3.616739,-0.90368164	,-3.277305,-0.6799022
2393,-3.587156,-0.8957979	,-3.3909085,-0.6925691
2394,-3.648561,-0.9081234	,-3.3539298,-0.68621117
2395,-3.7034264,-0.92518634	,-3.3771737,-0.6814281
2396,-3.724556,-0.90829057	,-3.375929,-0.6848279
2397,-3.7540996,-0.9259266	,-3.389003,-0.6786623
2398,-3.7604003,-0.91990346	,-3.1520112,-0.6167003
2399,-3.7744896,-0.93454903	,-3.1711814,-0.6471728
2400,-3.6319015,-0.8906079	,-3.171204,-0.622144
2401,-3.691762,-0.91545725	,-3.1345618,-0.6083212
2402,-3.749088,-0.9307964	,-3.1435144,-0.6499262
2403,-3.7574077,-0.9262514	,-3.1481552,-0.61670125
2404,-3.7808857,-0.93170524	,-3.1963673,-0.64107263
2405,-3.9704518,-0.9921473	,-3.1573238,-0.63473666
2406,-3.9856477,-0.9899335	,-3.166897,-0.6466089
2407,-3.987446,-0.96227074	,-3.1648474,-0.63948643
2408,-4.008415,-0.9790534	,-3.1544826,-0.62991786
2409,-3.891847,-0.96187055	,-3.1514568,-0.6724789
2410,-3.9058495,-0.9646978	,-3.2462862,-0.6554787
2411,-3.9837773,-0.9667425	,-3.2551076,-0.6843166
2412,-4.0568624,-0.98947316	,-3.265064,-0.6748065
2413,-4.0441556,-0.99037796	,-3.2707543,-0.66515017
2414,-4.0409284,-0.9866303	,-3.266161,-0.67731327
2415,-4.161182,-1.0112498	,-3.2773967,-0.66723555
2416,-4.306524,-1.0670673	,0.046638843,0.20419148
2417,-4.292198,-1.0481501	,0.039840437,-0.062076814
2418,-4.3289356,-1.0567542	,-0.22949012,-0.212028
2419,-4.355917,-1.0712401	,-0.22062126,0.18051061
2420,-4.42703,-1.0943357	,-0.04544437,0.24331988
2421,-4.4559216,-1.0848047	,-0.06892663,-0.17699455
2422,0.18211369,0.030641448	,0.18211369,0.030641448
2423,-0.2355775,-0.20746507	,-0.2355775,-0.20746507
2424,0.0073240404,-0.039476	,0.0073240404,-0.039476
2425,0.161084,0.18987927	,0.161084,0.18987927
2426,-0.10862443,0.22991514	,-0.10862443,0.22991514
2427,0.16694874,-0.20518228	,0.16694874,-0.20518228
2428,0.1216997,-0.075139984	,0.1216997,-0.075139984
2429,-0.1833521,-0.18695825	,-0.1833521,-0.18695825
2430,0.12432814,0.06009247	,0.12432814,0.06009247
2431,-0.14273858,-0.056868754	,-0.14273858,-0.056868754
2432,-4.430827,-1.0828574	,0.112909004,0.2354987
2433,-4.4414206,-1.0719644	,-0.1851857,-0.19671683
2434,-4.29771,-1.062089	,-3.312936,-0.670098
2435,-4.380095,-1.0775713	,-3.329056,-0.69553465
2436,-4.382565,-1.0686302	,-3.3295527,-0.7076372
2437,-4.3910885,-1.0909103	,-3.3256178,-0.686536
2438,-4.322888,-1.0545721	,-3.3219779,-0.6761217
2439,-4.365024,-1.084012	,-3.3297591,-0.69227403
2440,-4.2779183,-1.0591943	,-3.3295596,-0.70397043
2441,-4.2942395,-1.0663586	,-3.3343506,-0.71612287
2442,-4.5929437,-1.1395843	,-3.343028,-0.68717897
2443,-4.6083446,-1.1323495	,-3.304487,-0.6943821
2444,-4.4177732,-1.1096635	,-3.3005917,-0.6983615
2445,-4.359193,-1.0905125	,-3.3125274,-0.68569946
2446,-4.4163294,-1.1051824	,-3.3248222,-0.68192226
2447,-4.642871,-1.1535146	,-3.3099098,-0.7017366
2448,-4.6731067,-1.1676161	,-3.33918,-0.68723804
2449,-4.3384557,-1.0769663	,-3.2176182,-0.65779227
2450,-4.3363423,-1.0567168	,-3.1874466,-0.67840207
2451,-4.3337145,-1.0802938	,-3.1835082,-0.67179716
2452,-4.350601,-1.0926492	,-3.193279,-0.68830836
2453,-4.1626616,-1.0334595	,-3.2027059,-0.6615415
2454,-4.1853533,-1.0458959	,-3.3094702,-0.6854738
2455,-4.0586967,-1.0179019	,-3.1693645,-0.6792443
2456,-3.841765,-0.95394915	,-3.1810973,-0.65255535
2457,-3.9100056,-0.97375923	,-3.189477,-0.6738619
2458,-3.9304793,-0.98622674	,-3.1264646,-0.6638325
2459,-3.9519975,-0.9735495	,-3.129091,-0.65831435
2460,-3.705009,-0.9172222	,-3.138496,-0.65987873
2461,-3.6263998,-0.9006559	,-3.0052602,-0.6185761
2462,-3.6345634,-0.9024805	,-3.0172825,-0.6192866
2463,-3.3849967,-0.8391415	,-2.8857923,-0.58174753
2464,-3.2681866,-0.81486964	,-2.8113666,-0.574346
2465,-2.9280272,-0.7401331	,-2.4733603,-0.47620487
2466,-2.9371052,-0.7294446	,-2.4807467,-0.461132
2467,-2.726736,-0.6920332	,-2.3578606,-0.43571937
2468,-2.6572654,-0.67768997	,-2.2115796,-0.36809146
2469,-2.5505714,-0.6583692	,-2.1949596,-0.4009314
2470,-2.4503088,-0.6304223	,-2.179931,-0.38950053
2471,-2.3831096,-0.6363351	,-2.09853,-0.37011167
2472,-2.3163793,-0.5914544	,-1.9943773,-0.32682368
2473,-2.2791238,-0.5959143	,-1.9617442,-0.3252915
2474,-2.3028247,-0.5840293	,-1.9674494,-0.3632975
2475,-2.315886,-0.62375784	,-1.9755261,-0.33928335
2476,-2.3176298,-0.6077774	,-1.9630873,-0.34573686
2477,-2.3117342,-0.59679586	,-1.9593576,-0.33563322
2478,-2.2584202,-0.6014326	,-1.886939,-0.3296855
2479,-2.2680376,-0.60735244	,-1.9129319,-0.32040876
2480,-2.257308,-0.59308255	,-1.9530355,-0.3449257
2481,-2.1988466,-0.5929877	,-1.9564911,-0.33661708
2482,-2.1924088,-0.5758923	,-2.0135064,-0.34585094
2483,-2.1923385,-0.60239196	,-1.9933769,-0.32667074
2484,-2.1983757,-0.5854689	,-1.9213308,-0.32367367
2485,-2.1992292,-0.5888018	,-1.8928643,-0.30235
2486,-2.1678033,-0.5812584	,-1.8949764,-0.33456862
2487,-2.1784513,-0.58287764	,-1.9090956,-0.35859284
2488,-2.192377,-0.5765613	,-1.9702367,-0.3517149
2489,-2.1791828,-0.5759793	,-1.9267696,-0.34587404
2490,-2.2352233,-0.5968852	,-1.8986105,-0.323096
2491,-2.2288,-0.59757274	,-1.8917398,-0.33594078
2492,-2.2477536,-0.5944003	,-1.892144,-0.33628392
2493,-2.2186587,-0.58104044	,-1.8974483,-0.32336643
2494,-2.2002168,-0.58092076	,-1.8972411,-0.34493482
2495,-2.1963923,-0.5916264	,-1.8866023,-0.3254278
2496,-2.194934,-0.59170485	,-1.913371,-0.3308216
2497,-2.1527405,-0.58429855	,-1.9040228,-0.3220477
2498,-2.1479416,-0.5878141	,-1.8913208,-0.31992343
2499,-2.1449418,-0.57935834	,-1.8874937,-0.3270462
2500,-2.1516676,-0.57827514	,-1.9050423,-0.29404846
2501,-2.2006721,-0.5936219	,-1.9583436,-0.34577143
2502,-2.3753934,-0.62247807	,-2.0578828,-0.38752517
2503,-2.3198602,-0.62102306	,-2.051463,-0.36017093
2504,-2.3091953,-0.6196618	,-2.004391,-0.35474256
2505,-2.3693311,-0.6159537	,-2.114074,-0.40856305
2506,-2.320207,-0.61726224	,-1.9830321,-0.35580993
2507,-2.2828796,-0.62058586	,-1.9542389,-0.3682622
2508,-2.2878244,-0.6351929	,-2.0013812,-0.38472888
2509,-2.352414,-0.61696726	,-2.0585778,-0.3687067
2510,-2.3823137,-0.62745637	,-2.0530763,-0.3885957
2511,-2.38359,-0.64174885	,-2.0361037,-0.37855914
2512,-2.3846328,-0.64595217	,-2.070258,-0.38938838
2513,-2.3914073,-0.62080604	,-2.0620499,-0.4264606
2514,-2.3830652,-0.636844	,-2.1284587,-0.4304299
2515,-2.457816,-0.64541286	,-2.176013,-0.45922104
2516,-2.4477723,-0.66219693	,-2.1811016,-0.45002043
2517,-2.4480674,-0.6342054	,-2.2352405,-0.4621011
2518,-2.4807396,-0.6494342	,-2.21965,-0.46986926
2519,-2.4740033,-0.6423689	,-2.2280872,-0.45597407
2520,-2.472486,-0.65094614	,-2.2531023,-0.44338846
2521,-2.486783,-0.6361904	,-2.275266,-0.48459268
2522,-2.5587125,-0.649387	,-2.2821822,-0.48134482
2523,-2.5691228,-0.65290546	,-2.3215992,-0.48605055
2524,-2.5023813,-0.6442291	,-2.234099,-0.47973052
2525,-2.5238616,-0.6374815	,-2.2248466,-0.4845298
2526,-2.5118504,-0.64115375	,-2.220669,-0.47335863
2527,-2.5038314,-0.64920634	,-2.1663897,-0.42879546
2528,-2.5209525,-0.64054054	,-2.2025373,-0.46347487
2529,-2.5286474,-0.6539139	,-2.2371078,-0.4920982
2530,-2.4977539,-0.6385306	,-2.2410989,-0.4659884
2531,-2.5108528,-0.6371405	,-2.2473197,-0.47518647
2532,-2.4604945,-0.635221	,-2.2887402,-0.48306197
2533,-2.4300542,-0.6334348	,-2.2733243,-0.48080382
2534,-2.5172904,-0.65685815	,-2.318683,-0.49620986
2535,-2.4743707,-0.61940867	,-2.2424483,-0.47372648
2536,-2.4586399,-0.64631176	,-2.222205,-0.47669715
2537,-2.4731152,-0.63762265	,-2.1786222,-0.48473138
2538,-2.4672093,-0.6270447	,-2.171058,-0.44239762
2539,-2.4486377,-0.6130385	,-2.185057,-0.43882516
2540,-2.4623642,-0.652023	,-2.2382088,-0.46973708
2541,-2.4377582,-0.6388599	,-2.2342055,-0.4535035
2542,-2.4272676,-0.6555721	,-2.1972568,-0.43732062
2543,-2.5487657,-0.6570359	,-2.176553,-0.46274722
2544,-2.6262743,-0.6723473	,-2.27288,-0.4697097
2545,-2.623324,-0.6845338	,-2.251749,-0.43161997
2546,-4.1313944,-1.014229	,-3.1716216,-0.66557
2547,-4.132597,-0.991189	,-3.1736968,-0.6683456
2548,-3.9762685,-0.9579108	,-3.161356,-0.6482871
2549,-3.9809346,-0.976326	,-3.174474,-0.6507268
2550,-3.9957972,-0.96727794	,-3.1800392,-0.66127175
2551,-3.725148,-0.907125	,-3.0270145,-0.62556887
2552,-3.6588042,-0.8995559	,-2.9987586,-0.59875154
2553,-3.3311293,-0.81651986	,-2.838183,-0.5786512
2554,-3.3647838,-0.82728004	,-2.913929,-0.60708284
2555,-3.3918471,-0.8424766	,-2.9285536,-0.64822793
2556,-3.2933476,-0.82813066	,-2.9174814,-0.6283095
2557,-3.3075168,-0.82231	,-2.9308732,-0.6322266
2558,-3.216769,-0.7987863	,-2.9370008,-0.6154757
2559,-3.1889899,-0.8066594	,-2.836398,-0.60215414
2560,-3.141882,-0.7802817	,-2.8034172,-0.6210285
2561,-3.1422024,-0.78316325	,-2.750885,-0.58723086
2562,-3.0828786,-0.7655527	,-2.758206,-0.6066285
2563,-3.0282025,-0.76136136	,-2.7669098,-0.6045957
2564,-2.8905716,-0.7474381	,-2.5825024,-0.53809834
2565,-2.9276977,-0.7248019	,-2.5469806,-0.54068756
2566,-2.9509432,-0.73993117	,-2.5502427,-0.5425725
2567,-2.972098,-0.74311703	,-2.55069,-0.52347654
2568,-3.0067878,-0.7465716	,-2.5684326,-0.54150856
2569,-2.9710627,-0.74008334	,-2.5466554,-0.5409693
2570,-2.9205947,-0.73528373	,-2.5447485,-0.5314698
2571,-2.9223769,-0.7410849	,-2.5596013,-0.5565624
2572,-2.8471265,-0.72817266	,-2.4831886,-0.5197401
2573,-2.8454711,-0.7265919	,-2.4695437,-0.50890255
2574,-2.7483397,-0.70771164	,-2.4517477,-0.50847775
2575,-2.692671,-0.69740784	,-2.449689,-0.5061865
2576,-2.655703,-0.6709764	,-2.3606503,-0.48762113
2577,-2.6563194,-0.68508583	,-2.388142,-0.51317066
2578,-2.6225455,-0.6668721	,-2.4078803,-0.50647503
2579,-2.6179476,-0.6853213	,-2.3625515,-0.48510078
2580,-2.6331296,-0.6777582	,-2.346561,-0.48366228
2581,-2.6375463,-0.67898095	,-2.3581932,-0.49222535
2582,-2.5706873,-0.65634924	,-2.3772254,-0.49785516
2583,-2.5100334,-0.64783466	,-2.3140147,-0.48935956
2584,-2.513388,-0.6667036	,-2.3289552,-0.5116381
2585,-2.5532987,-0.6621931	,-2.2961326,-0.484681
2586,-2.527255,-0.668546	,-2.2696016,-0.48602825
2587,-2.4778242,-0.6538917	,-2.284555,-0.45899692
2588,-2.5066407,-0.6552209	,-2.3439384,-0.49647516
2589,-2.4547663,-0.6597451	,-2.2815933,-0.47582403
2590,-2.523833,-0.6609146	,-2.2810807,-0.49901965
2591,-2.4836972,-0.65011126	,-2.2833498,-0.47178498
2592,-2.4748068,-0.64449054	,-2.2848809,-0.5025615
2593,-2.4914167,-0.65550095	,-2.3460793,-0.5230961
2594,-2.49191,-0.65852547	,-2.3291013,-0.5178499
2595,-2.5275314,-0.6553849	,-2.342118,-0.5210459
2596,-2.5474703,-0.67493784	,-2.261349,-0.47597843
2597,-2.6176112,-0.68029237	,-2.2802083,-0.49938422
2598,-2.5780275,-0.6814831	,-2.2339184,-0.4745506
2599,-2.5859945,-0.6831432	,-2.3009665,-0.48648128
2600,-2.6597357,-0.68807477	,-2.3198516,-0.51989514
2601,-2.698839,-0.6901601	,-2.3306727,-0.48306838
2602,-2.7407568,-0.700919	,-2.3114748,-0.4990477
2603,-2.7356708,-0.6943592	,-2.3187234,-0.5168641
2604,-2.7161763,-0.690335	,-2.3213787,-0.508617
2605,-2.7106814,-0.69399107	,-2.3421805,-0.49696457
2606,-2.630472,-0.6916193	,-2.3171647,-0.50159806
2607,-2.53219,-0.6554173	,-2.236827,-0.47938153
2608,-2.5393078,-0.65791124	,-2.276873,-0.5144202
2609,-2.4749112,-0.6746809	,-2.227671,-0.4571683
2610,-2.4808817,-0.65360045	,-2.2691545,-0.48249632
2611,-2.5371833,-0.6761907	,-2.297805,-0.47172588
2612,-2.5818493,-0.67666894	,-2.3439424,-0.50048065
2613,-2.6118236,-0.6729219	,-2.3569107,-0.5124413
2614,-2.6042316,-0.67841804	,-2.3328986,-0.5112158
2615,-2.538219,-0.67939806	,-2.295223,-0.49359447
2616,-2.6124008,-0.6871386	,-2.3393342,-0.53013265
2617,-2.6145353,-0.685152	,-2.3381221,-0.5343282
2618,-2.577323,-0.6955042	,-2.356767,-0.51244545
2619,-2.652463,-0.6907587	,-2.3855715,-0.5320073
2620,-2.6525126,-0.69263655	,-2.368581,-0.5221637
2621,-2.6108391,-0.68843055	,-2.3541365,-0.5371132
2622,-2.6161368,-0.691163	,-2.3496697,-0.54174584
2623,-2.5533497,-0.67603105	,-2.305176,-0.51577204
2624,-2.5683334,-0.6623532	,-2.3208346,-0.5136654
2625,-2.621451,-0.68859196	,-2.3527682,-0.5183886
2626,-2.7461746,-0.71554136	,-2.440844,-0.47918957
2627,-2.7162552,-0.7049432	,-2.4409165,-0.5099768
2628,-2.7489953,-0.71525055	,-2.5272732,-0.52554154
2629,-2.8153892,-0.72644037	,-2.4987795,-0.56861585
2630,-2.764952,-0.7192893	,-2.4660554,-0.51684654
2631,-2.7089217,-0.7167502	,-2.4347591,-0.52943844
2632,-2.6660655,-0.69051564	,-2.3673794,-0.50148416
2633,-2.6154647,-0.69497687	,-2.2967641,-0.45069975
2634,-2.619062,-0.6963522	,-2.3226523,-0.50672567
2635,-2.632643,-0.6994276	,-2.325369,-0.513491
2636,-2.5860937,-0.6764073	,-2.266299,-0.49678594
2637,-2.5404272,-0.68422234	,-2.2574377,-0.47158054
2638,-2.4369626,-0.6700969	,-2.1590023,-0.4533084
2639,-2.394515,-0.64320254	,-2.1171534,-0.44221902
2640,-2.3997416,-0.64684796	,-2.092266,-0.44456717
2641,-2.3969076,-0.6557798	,-2.105168,-0.41646764
2642,-2.3972812,-0.63742524	,-2.159818,-0.42114758
2643,-2.3923202,-0.6542367	,-2.1572587,-0.458317
2644,-2.3632398,-0.6472169	,-2.1616342,-0.46192402
2645,-2.3595467,-0.6371983	,-2.2119997,-0.49049622
2646,-2.3642087,-0.64935696	,-2.1520743,-0.4602082
2647,-2.344399,-0.6522644	,-2.1025538,-0.42625678
2648,-2.3051224,-0.6630086	,-2.019521,-0.42748073
2649,-2.2999964,-0.61725074	,-2.006878,-0.43012002
2650,-2.2960265,-0.63710386	,-2.021972,-0.4541027
2651,-2.3209462,-0.6358715	,-2.0545592,-0.44202483
2652,-2.361601,-0.65446466	,-2.1227493,-0.45600143
2653,-2.3830092,-0.65687585	,-2.1632624,-0.4913257
2654,-2.389565,-0.65572643	,-2.1484084,-0.49689928
2655,-2.4105942,-0.6532979	,-2.1504,-0.5004014
2656,-2.4585147,-0.6472636	,-2.197431,-0.4825382
2657,-2.494328,-0.6815435	,-2.2162611,-0.50034255
2658,-2.5439692,-0.6625489	,-2.2123673,-0.48616326
2659,-2.4897666,-0.6844388	,-2.2211354,-0.49923578
2660,-2.605011,-0.67393404	,-2.2453787,-0.47121125
2661,-2.541907,-0.6710601	,-2.171251,-0.47112682
2662,-2.5462618,-0.67447805	,-2.1630626,-0.4664008
2663,-2.4912953,-0.64733505	,-2.1555326,-0.46509466
2664,-2.5191667,-0.64788485	,-2.153293,-0.47358483
2665,-2.555078,-0.6739183	,-2.2145493,-0.4822689
2666,-2.5809143,-0.674006	,-2.27512,-0.48662
2667,-2.5525193,-0.6714341	,-2.3236601,-0.50547075
2668,-2.5884535,-0.6673127	,-2.318349,-0.5031908
2669,-2.5685554,-0.6563423	,-2.2941227,-0.49703535
2670,-2.6137998,-0.6865351	,-2.3468146,-0.53509665
